epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,8222.08,1.37471,0.66518,0.00435,0.89682,0.79978,0.86306,0.561,1.32952,0.58036,0.00488,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,8478.34,1.36498,0.65506,0.00428,0.90224,0.78999,0.86362,0.56631,1.31354,0.5863,0.0048,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,8734.6,1.36865,0.65213,0.00431,0.89376,0.80551,0.86527,0.56583,1.31794,0.5883,0.00482,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,8991.41,1.35856,0.64771,0.00426,0.90831,0.79183,0.8602,0.56427,1.31517,0.58264,0.00479,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,9248.08,1.35422,0.64338,0.00421,0.91206,0.79045,0.86009,0.56804,1.31108,0.57142,0.00473,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,9509.28,1.35233,0.64235,0.00424,0.90761,0.79423,0.86652,0.57033,1.30911,0.57238,0.00473,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,9771.09,1.36478,0.63702,0.00417,0.8988,0.80673,0.86869,0.5755,1.30066,0.55869,0.0047,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,10033.3,1.35847,0.63662,0.00416,0.88962,0.80073,0.86741,0.57214,1.30547,0.56429,0.00474,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,10295.6,1.34485,0.63212,0.00423,0.90568,0.80218,0.86599,0.57226,1.30674,0.56949,0.00471,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,10558.3,1.36523,0.63345,0.00416,0.90496,0.80103,0.86455,0.57285,1.30148,0.56094,0.00469,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,10820,1.34336,0.62478,0.00417,0.90125,0.80281,0.87053,0.57714,1.28881,0.5597,0.00465,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,11082.2,1.3456,0.62404,0.00415,0.90047,0.8057,0.87185,0.57652,1.29138,0.5531,0.00467,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,11344.1,1.34734,0.62849,0.0041,0.89901,0.80547,0.86794,0.57859,1.28519,0.55592,0.00465,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,11606.2,1.33213,0.61631,0.00412,0.90287,0.80821,0.87183,0.5808,1.2826,0.54986,0.00465,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,11868.7,1.33736,0.61798,0.00412,0.89837,0.81912,0.8723,0.58374,1.27846,0.54851,0.00462,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,12130.7,1.32713,0.61514,0.00409,0.90694,0.80958,0.87256,0.58066,1.28071,0.55099,0.00462,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,12394.4,1.32708,0.61013,0.00412,0.90761,0.80347,0.87278,0.58156,1.2761,0.55083,0.0046,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,12655.1,1.33198,0.61154,0.00408,0.90245,0.81054,0.87611,0.58246,1.27953,0.54959,0.0046,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,12918.4,1.3204,0.60367,0.00413,0.90153,0.81179,0.87166,0.58157,1.27709,0.5476,0.00462,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,13180.3,1.32826,0.60472,0.00402,0.9042,0.80917,0.87345,0.584,1.28439,0.54421,0.00462,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,13444.7,1.32015,0.60161,0.00409,0.89537,0.81892,0.8733,0.58495,1.27525,0.54074,0.00457,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,13706.3,1.32466,0.59639,0.00409,0.90109,0.81514,0.87264,0.58225,1.28194,0.55123,0.0046,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
